"state_census_code","state","sector","observations","employment","members","covered","p_members","p_covered","state_abbreviation","year"
92,"Oregon","Total",2307,1470227.78643333,212844.07525,231393.167641667,0.144769459962845,0.157385930418968,"OR",2005
92,"Oregon","Total",2286,1526953.61171667,210661.984008333,224579.7499,0.137962266802788,0.147076994180679,"OR",2006
92,"Oregon","Total",2310,1581896.74496667,226590.251141667,243409.178708333,0.143239602446556,0.153871729969978,"OR",2007
92,"Oregon","Total",2298,1565846.236725,259168.895833333,271799.764008333,0.165513634681702,0.17358011007309,"OR",2008
92,"Oregon","Total",2289,1470715.67736667,250272.060766667,272232.215291667,0.170170247554779,0.185101866722107,"OR",2009
92,"Oregon","Total",2272,1515069.5766,245100.814258333,267894.0369,0.161775290966034,0.176819622516632,"OR",2010
92,"Oregon","Total",2329,1575162.6508,269202.021858333,285261.495675,0.170904263854027,0.181099712848663,"OR",2011
92,"Oregon","Total",2214,1527065.24161667,240657.692558333,250511.53515,0.157594904303551,0.164047703146935,"OR",2012
92,"Oregon","Total",2189,1503532.70349166,208531.750425,223349.51015,0.138694524765015,0.148549824953079,"OR",2013
92,"Oregon","Total",2280,1554744.57799167,243177.272516667,263725.867833333,0.156409785151482,0.169626489281654,"OR",2014
92,"Oregon","Total",2318,1586372.14489166,234576.979016667,255734.568691667,0.147870078682899,0.161207169294357,"OR",2015
92,"Oregon","Total",2408,1689979.91456667,227743.412041667,266599.200483333,0.134761020541191,0.157752886414528,"OR",2016
92,"Oregon","Total",2414,1761898.19345,262325.536916666,277229.907008333,0.148888021707535,0.157347291707993,"OR",2017
92,"Oregon","Total",2274,1740902.429575,241150.429291667,255192.629425,0.138520359992981,0.146586403250694,"OR",2018
92,"Oregon","Total",2343,1772417.64135833,254959.402633333,277031.384433333,0.14384837448597,0.156301409006119,"OR",2019
92,"Oregon","Total",2174,1691570.6302,274074.863333333,291549.941533333,0.162023901939392,0.172354578971863,"OR",2020
92,"Oregon","Total",2250,1782754.09699167,318006.937591667,335856.956316667,0.178379580378532,0.18839219212532,"OR",2021
92,"Oregon","Total",2122,1813726.79155,281580.143766666,305690.466108333,0.1552494764328,0.168542727828026,"OR",2022
93,"California","Priv. Construction",616,398031.465833333,156189.369166667,164232.745833333,0.392404586076737,0.412612468004227,"CA",1983
93,"California","Priv. Construction",677,454750.3825,152193.009166667,158552.931666667,0.33467373251915,0.348659247159958,"CA",1984
93,"California","Priv. Construction",680,521788.055833333,160937.794166667,166478.5325,0.308435171842575,0.319053947925568,"CA",1985
93,"California","Priv. Construction",681,581759.105833333,170069.516666667,177330.6825,0.292336672544479,0.30481806397438,"CA",1986
93,"California","Priv. Construction",647,566689.900833333,156944.98,166213.424166667,0.276950359344482,0.293305784463882,"CA",1987
93,"California","Priv. Construction",515,634133.903333333,165807.170833333,180800.815,0.261470288038254,0.28511455655098,"CA",1988
